编号,工作项,完成定义,负责团队,站点,关联里程碑,关联接缝,功能等级,优先级,状态,关键路径,依赖前置,R负责,A批准,C咨询,I知会,计划开始,计划完成,实际完成,进度%,预估工时(人天),关联风险,备注
PM-01,项目启动与WBS分解,WBS分解到可指派可估可验,PMO,跨站点,M1,S3,—,最高,已完成,是,,PMO,PM,各团队lead,全员,2026-06-02,2026-06-08,2026-06-07,100,3,R04,
PM-02,接口契约冻结(G2三方签),WebSocket/场景API/IO表/CAN FD 书面签署,PMO,跨站点,M1,S2,—,最高,进行中,是,PM-01,PMO,PM,杭州+昆山lead,全员,2026-06-09,2026-06-22,,70,5,R02/R03,G2命门
PM-03,甲供件接口澄清(15工作日),14个甲供件规格全部已确认冻结,PMO,客户,M2,S1,—,最高,阻塞,是,PM-01,PMO,PM,客户,软硬件,2026-06-09,2026-06-27,,30,6,R02,阻塞:IF01-03逾期
ST-01,趋势研究与N→3草案,3个造型方向出图,造型,昆山,M1,—,—,高,进行中,是,PM-01,造型lead,PM,客户,—,2026-06-09,2026-06-29,,60,10,R08,
ST-02,概念评审(客户书面确认),客户书面确认≥1方向,造型,客户,M1,S1,—,最高,待办,是,ST-01,造型lead,PM,客户,全员,2026-06-30,2026-07-04,,0,2,R08,M1 gate
ST-03,3→1方向深化+CMF草案,单方向深化并确认,造型,昆山,M2,—,—,高,待办,是,ST-02,造型lead,PM,客户,—,2026-07-07,2026-07-25,,0,12,R08/R16,
ST-04,CAS/A面建模(CATIA 0.05mm),CAS/A面完成,造型,昆山,M3,—,—,高,待办,是,ST-03,造型lead,PM,样车,嵌入式,2026-07-28,2026-08-15,,0,15,,
ST-05,数据冻结(F1),A面冻结无重大变更,造型,昆山,M3,—,—,最高,待办,是,ST-04,造型lead,PM,全团队,全员,2026-08-11,2026-08-15,,0,2,,F1冻结线
DM-01,骨架设计,车身骨架图纸完成,样车,昆山,M4,S3,—,高,待办,是,ST-05,样车lead,PM,硬件,—,2026-08-18,2026-09-05,,0,12,,
DM-02,骨架制造完成,骨架可开始装配,样车,昆山,M4,—,—,高,待办,是,DM-01,样车lead,PM,—,—,2026-09-08,2026-09-26,,0,14,,关键路径核心
DM-03,车身+内饰,车身内饰完成,样车,昆山,M5,—,—,中,待办,,DM-02,样车lead,PM,造型,—,2026-09-29,2026-10-17,,0,16,R06,
DM-04,总装,整车总装完成,样车,跨站点,M5,S2,—,高,待办,是,DM-03,样车lead,PM,嵌入式与软件,全员,2026-10-20,2026-11-07,,0,14,,
HW-01,9机构选型与安全设计,机构方案+双限位评审通过,硬件,昆山,M4,—,A,最高,进行中,,PM-01,硬件lead,PM,测试,—,2026-06-16,2026-07-20,,20,12,R01/R14,A类安全
HW-02,4屏+传感器硬件适配,屏与传感器装车适配,硬件,昆山,M5,S1,A,高,待办,,PM-03/HW-01,硬件lead,PM,嵌入式,—,2026-09-01,2026-10-10,,0,18,R13,依赖甲供件
HW-03,电源/UPS与断电恢复,UPS≥5min+自动恢复验证,硬件,昆山,M6,—,A,高,待办,,HW-02,硬件lead,PM,嵌入式,—,2026-10-13,2026-11-07,,0,8,R07,
EM-01,IO表与CAN FD协议定义,IO表/CAN FD ID 全量定义,嵌入式(昆山),昆山,M1,S2,—,最高,进行中,是,PM-01,嵌入lead,PM,杭州,全员,2026-06-09,2026-06-20,,50,8,R03,喂给G2契约
EM-02,网关 CAN FD↔MQTT 开发,网关桥接联通,嵌入式(昆山),昆山,M5,S2,A,高,待办,,EM-01/PM-02,嵌入lead,PM,杭州,—,2026-07-21,2026-10-03,,0,25,R03,
EM-03,客户屏适配(W13-20),4屏MQTT接入零改前后端,嵌入式(昆山),昆山,M5,S2,A,高,待办,是,EM-02/HW-02,嵌入lead,PM,杭州,—,2026-08-25,2026-10-10,,0,20,R03,杭州依赖此
SW-01,Mock服务搭建(G1),Mock可供前端开发,软件(杭州),杭州,M5,S2,—,高,进行中,是,EM-01,软件lead,PM,嵌入式,—,2026-06-09,2026-06-20,,80,6,,G1 Mock先行
SW-02,状态机+WebSocket+场景触发,S1-S4场景与健康数据贯通,软件(杭州),杭州,M5,S2,A,高,进行中,是,SW-01/PM-02,软件lead,PM,嵌入式,—,2026-06-23,2026-09-19,,15,30,R03,对Mock开发
SW-03,前端UI/UX(React/Lottie/ECharts),屏幕UI/UX主体完成,软件(杭州),杭州,M5,S3,A,高,待办,是,SW-02,软件lead,PM,动画交互,—,2026-07-07,2026-10-10,,0,35,,依赖Figma
SW-04,语音识别集成,噪声下识别+触控兜底,软件(杭州),杭州,M6,—,B,中,待办,,SW-02,软件lead,PM,测试,—,2026-09-01,2026-10-17,,0,10,R10,
AN-01,交互设计Figma稿,S1-S4交互稿评审通过,动画交互,杭州,M5,S3,—,高,进行中,是,ST-02,交互lead,PM,软件,—,2026-06-23,2026-08-15,,10,18,,喂给SW-03
AN-02,C类功能动画/mockup,C类概念动画完成,动画交互,杭州,M5,—,C,中,待办,,AN-01,交互lead,PM,软件,—,2026-09-01,2026-10-17,,0,12,,C类用动画
TS-01,测试计划与用例(A/B/C),68功能用例与验收方法,测试,跨站点,M6,—,—,高,待办,,PM-01,测试lead,PM,全团队,—,2026-09-01,2026-09-26,,0,12,,
TS-02,真实硬件集成(G3 W22-26),真实数据入MQTT零改代码,测试,跨站点,M6,S2,A,最高,待办,是,DM-04/EM-03/SW-03,测试lead,PM,嵌入式与软件,全员,2026-10-27,2026-11-21,,0,20,R03/R07,G3集成
TS-03,预验收(A100%/B≥90%/8h×3),稳定性零A类故障,测试,跨站点,M6,—,A,最高,待办,是,TS-02,测试lead,PM,全团队,客户,2026-11-24,2026-11-28,,0,5,R03,M6 gate
TS-04,现场安装彩排(8h),卸车到演示≤8h全流程彩排,测试,跨站点,M7,—,—,高,待办,,TS-03,测试lead,PM,硬件,全员,2026-12-01,2026-12-12,,0,6,R15,
TS-05,终验收,终验收通过可发运,测试,跨站点,M7,—,—,最高,待办,是,TS-03/TS-04,测试lead,PM,客户,全员,2026-12-15,2026-12-19,,0,4,,M7 gate
